H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.005, 0.0, citeseer, 69.62, 0.35, 43.93, 0.30, 45.09, 0.57, 65.39, 0.28, 79.47, 0.22, 2.54, 0.09
0.01, 0.0, 4, True, True, True, 0.005, 260.0, 0.01, 0.0, citeseer, 69.38, 0.21, 43.61, 0.46, 44.91, 0.45, 65.11, 0.29, 79.41, 0.19, 2.72, 0.12
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.001, 0.0, citeseer, 69.68, 0.23, 44.05, 0.38, 45.33, 0.53, 65.43, 0.19, 79.08, 0.13, 3.00, 0.21
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.003, 0.0, citeseer, 69.58, 0.38, 43.80, 0.58, 45.15, 0.57, 65.35, 0.39, 79.04, 0.21, 3.05, 0.22
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, citeseer, 69.51, 0.41, 43.95, 0.34, 44.97, 0.62, 65.30, 0.31, 78.84, 0.27, 3.15, 0.35
0.01, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, citeseer, 69.44, 0.27, 43.63, 0.46, 44.87, 0.62, 65.16, 0.34, 78.97, 0.15, 3.03, 0.07
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, citeseer, 69.61, 0.37, 43.95, 0.39, 45.14, 0.59, 65.18, 0.23, 79.08, 0.33, 2.87, 0.26
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, citeseer, 69.52, 0.24, 43.67, 0.45, 44.98, 0.40, 65.09, 0.25, 79.17, 0.23, 2.80, 0.08
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, citeseer, 69.66, 0.33, 43.86, 0.44, 45.24, 0.49, 65.35, 0.49, 79.26, 0.18, 2.78, 0.17
0.01, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, citeseer, 69.47, 0.17, 43.82, 0.32, 45.05, 0.34, 65.06, 0.22, 79.24, 0.21, 2.75, 0.04
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, citeseer, 69.50, 0.39, 43.56, 0.44, 44.95, 0.76, 65.12, 0.29, 79.55, 0.21, 2.45, 0.08
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, citeseer, 69.53, 0.30, 43.62, 0.16, 45.05, 0.38, 65.25, 0.33, 79.65, 0.22, 2.41, 0.10
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, citeseer, 69.69, 0.34, 43.93, 0.39, 45.25, 0.54, 65.34, 0.33, 79.55, 0.11, 2.44, 0.04
0.01, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, citeseer, 69.52, 0.27, 43.91, 0.24, 45.11, 0.51, 65.08, 0.28, 79.46, 0.27, 2.51, 0.13
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, citeseer, 69.45, 0.40, 43.80, 0.52, 44.83, 0.77, 65.18, 0.27, 79.18, 0.18, 2.79, 0.28
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, citeseer, 69.54, 0.35, 43.67, 0.52, 44.97, 0.56, 65.27, 0.33, 79.23, 0.15, 2.81, 0.18
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, citeseer, 69.31, 0.24, 43.66, 0.50, 44.72, 0.44, 64.99, 0.17, 79.10, 0.21, 2.88, 0.33
0.01, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, citeseer, 69.52, 0.22, 43.79, 0.36, 44.85, 0.50, 65.27, 0.11, 78.72, 0.38, 3.24, 0.43
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, citeseer, 69.47, 0.27, 43.55, 0.63, 44.83, 0.44, 65.24, 0.23, 77.87, 0.39, 4.17, 0.64
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, citeseer, 69.30, 0.32, 43.55, 0.34, 44.54, 0.60, 65.03, 0.24, 78.02, 0.37, 3.90, 0.30
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, citeseer, 69.45, 0.23, 43.49, 0.32, 44.80, 0.37, 65.13, 0.19, 77.94, 0.24, 4.06, 0.37
0.01, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, citeseer, 69.47, 0.28, 43.57, 0.42, 44.92, 0.44, 65.27, 0.28, 77.90, 0.15, 4.21, 0.19
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, citeseer, 69.50, 0.40, 43.63, 0.41, 45.05, 0.69, 65.28, 0.39, 77.08, 0.36, 5.08, 0.37
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, citeseer, 69.48, 0.47, 43.83, 0.30, 45.25, 0.54, 65.36, 0.42, 77.82, 0.38, 4.44, 0.38
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, citeseer, 69.44, 0.49, 43.85, 0.54, 45.26, 0.58, 65.24, 0.43, 77.55, 0.41, 4.70, 0.49
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, citeseer, 69.46, 0.63, 43.76, 0.69, 45.19, 0.84, 65.35, 0.52, 77.26, 0.32, 5.01, 0.32
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, citeseer, 69.14, 0.43, 43.27, 0.45, 44.61, 0.74, 64.83, 0.38, 77.25, 0.42, 4.89, 0.40
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, citeseer, 69.40, 0.31, 43.50, 0.46, 44.85, 0.55, 65.14, 0.40, 77.47, 0.42, 4.65, 0.41
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, citeseer, 69.23, 0.45, 43.34, 0.49, 44.60, 0.72, 65.01, 0.43, 77.48, 0.62, 4.62, 0.58
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, citeseer, 69.16, 0.34, 43.29, 0.43, 44.61, 0.49, 64.83, 0.36, 77.35, 0.50, 4.76, 0.51
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, citeseer, 69.17, 0.36, 43.47, 0.30, 44.75, 0.40, 64.88, 0.34, 77.49, 0.43, 4.63, 0.31
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, citeseer, 69.18, 0.31, 43.21, 0.31, 44.69, 0.48, 64.89, 0.23, 77.71, 0.43, 4.46, 0.40
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, citeseer, 69.13, 0.43, 43.31, 0.23, 44.58, 0.41, 64.86, 0.33, 77.62, 0.32, 4.48, 0.32
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, citeseer, 69.06, 0.45, 42.98, 0.43, 44.42, 0.69, 64.76, 0.37, 77.45, 0.46, 4.67, 0.44
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, citeseer, 69.65, 0.34, 44.01, 0.36, 45.43, 0.37, 65.22, 0.26, 77.74, 0.33, 4.29, 0.24
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, citeseer, 69.72, 0.29, 44.19, 0.27, 45.60, 0.29, 65.36, 0.28, 77.91, 0.37, 4.17, 0.25
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, citeseer, 69.64, 0.23, 44.06, 0.23, 45.33, 0.09, 65.23, 0.21, 77.97, 0.47, 4.03, 0.43
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, citeseer, 69.61, 0.34, 44.29, 0.32, 45.45, 0.44, 65.20, 0.33, 78.01, 0.49, 4.01, 0.40
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, citeseer, 69.61, 0.31, 43.73, 0.28, 45.03, 0.39, 65.13, 0.28, 78.62, 0.29, 3.28, 0.30
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, citeseer, 69.59, 0.39, 43.73, 0.29, 45.02, 0.56, 65.25, 0.27, 78.73, 0.19, 3.24, 0.22
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, citeseer, 69.50, 0.43, 43.62, 0.31, 44.99, 0.52, 65.13, 0.39, 78.78, 0.21, 3.21, 0.26
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, citeseer, 69.53, 0.38, 43.55, 0.28, 44.91, 0.49, 65.12, 0.30, 78.88, 0.29, 3.10, 0.23
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, citeseer, 69.53, 0.35, 43.68, 0.39, 44.86, 0.61, 65.13, 0.47, 79.24, 0.19, 2.63, 0.13
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, citeseer, 69.59, 0.51, 43.85, 0.50, 45.16, 0.70, 65.25, 0.43, 79.32, 0.21, 2.72, 0.12
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, citeseer, 69.45, 0.31, 43.62, 0.37, 44.85, 0.46, 65.11, 0.29, 79.21, 0.37, 2.76, 0.23
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, citeseer, 69.61, 0.33, 43.76, 0.45, 45.07, 0.56, 65.19, 0.36, 79.27, 0.22, 2.66, 0.20
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, citeseer, 69.59, 0.23, 43.69, 0.38, 44.93, 0.42, 65.23, 0.25, 79.40, 0.22, 2.50, 0.20
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, citeseer, 69.61, 0.53, 43.82, 0.76, 44.88, 0.90, 65.32, 0.44, 79.37, 0.08, 2.53, 0.13
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.005, 0.0, citeseer, 69.70, 0.37, 43.71, 0.56, 45.07, 0.63, 65.32, 0.27, 79.41, 0.09, 2.50, 0.15
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.01, 0.0, citeseer, 69.61, 0.28, 43.75, 0.51, 44.95, 0.51, 65.29, 0.13, 79.35, 0.23, 2.54, 0.24
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.001, 0.0, citeseer, 69.56, 0.51, 43.76, 0.49, 44.81, 0.77, 65.29, 0.54, 79.45, 0.19, 2.45, 0.18
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.003, 0.0, citeseer, 69.64, 0.41, 43.69, 0.52, 45.03, 0.63, 65.35, 0.38, 79.53, 0.20, 2.45, 0.12
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.005, 0.0, citeseer, 69.71, 0.54, 43.85, 0.60, 45.12, 0.87, 65.29, 0.73, 79.43, 0.30, 2.48, 0.26
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.01, 0.0, citeseer, 69.49, 0.38, 43.53, 0.46, 44.86, 0.66, 65.17, 0.43, 79.60, 0.23, 2.40, 0.14
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.001, 0.0, citeseer, 69.50, 0.28, 43.52, 0.31, 44.98, 0.58, 65.15, 0.31, 79.32, 0.16, 2.76, 0.07
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.003, 0.0, citeseer, 69.59, 0.39, 43.81, 0.38, 45.15, 0.68, 65.35, 0.31, 79.44, 0.16, 2.64, 0.10
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.005, 0.0, citeseer, 69.82, 0.46, 43.97, 0.39, 45.31, 0.78, 65.40, 0.41, 79.35, 0.08, 2.58, 0.12
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.01, 0.0, citeseer, 69.62, 0.41, 43.75, 0.51, 45.11, 0.62, 65.30, 0.46, 79.58, 0.20, 2.48, 0.16
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.001, 0.0, citeseer, 69.29, 0.12, 43.56, 0.28, 44.61, 0.55, 65.05, 0.25, 79.19, 0.22, 2.80, 0.23
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.003, 0.0, citeseer, 69.20, 0.38, 43.43, 0.45, 44.64, 0.70, 64.94, 0.29, 79.13, 0.22, 2.96, 0.16
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, citeseer, 69.29, 0.45, 43.47, 0.38, 44.65, 0.66, 65.04, 0.35, 78.92, 0.23, 3.11, 0.20
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, citeseer, 69.07, 0.24, 43.26, 0.34, 44.19, 0.58, 64.84, 0.26, 78.94, 0.24, 3.01, 0.16
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, citeseer, 69.61, 0.24, 43.92, 0.31, 45.15, 0.34, 65.14, 0.28, 79.05, 0.22, 2.87, 0.20
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, citeseer, 69.49, 0.37, 43.70, 0.49, 44.88, 0.85, 65.04, 0.29, 79.02, 0.11, 2.88, 0.13
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, citeseer, 69.53, 0.38, 43.64, 0.51, 44.95, 0.68, 65.08, 0.44, 79.00, 0.35, 2.96, 0.30
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, citeseer, 69.70, 0.46, 44.06, 0.46, 45.42, 0.65, 65.38, 0.47, 79.17, 0.20, 2.89, 0.13
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, citeseer, 69.59, 0.51, 43.85, 0.49, 44.99, 0.77, 65.15, 0.40, 79.47, 0.12, 2.39, 0.10
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, citeseer, 69.52, 0.41, 43.55, 0.48, 44.73, 0.64, 65.16, 0.37, 79.37, 0.24, 2.53, 0.16
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, citeseer, 69.67, 0.23, 43.96, 0.26, 45.08, 0.64, 65.39, 0.21, 79.47, 0.28, 2.47, 0.11
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, citeseer, 69.44, 0.40, 43.70, 0.46, 44.74, 0.76, 65.04, 0.47, 79.38, 0.35, 2.49, 0.22
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, citeseer, 69.24, 0.21, 43.31, 0.38, 44.44, 0.37, 65.07, 0.17, 79.40, 0.30, 2.66, 0.17
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, citeseer, 69.26, 0.22, 43.38, 0.28, 44.48, 0.45, 64.95, 0.21, 79.20, 0.37, 2.78, 0.29
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, citeseer, 69.53, 0.46, 43.62, 0.62, 44.85, 0.75, 65.28, 0.39, 79.25, 0.28, 2.77, 0.25
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, citeseer, 68.99, 0.34, 43.15, 0.40, 44.27, 0.59, 64.80, 0.34, 78.90, 0.15, 3.16, 0.13
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, citeseer, 69.18, 0.28, 43.44, 0.47, 44.48, 0.53, 64.99, 0.38, 77.97, 0.19, 4.06, 0.33
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.003, 0.0, citeseer, 69.20, 0.16, 43.37, 0.25, 44.51, 0.21, 64.98, 0.20, 77.83, 0.55, 4.25, 0.60
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.005, 0.0, citeseer, 69.13, 0.30, 43.35, 0.39, 44.51, 0.35, 64.94, 0.31, 78.22, 0.24, 3.89, 0.24
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.01, 0.0, citeseer, 69.00, 0.17, 43.31, 0.25, 44.26, 0.37, 64.87, 0.20, 78.13, 0.41, 3.94, 0.41
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.001, 0.0, citeseer, 69.61, 0.35, 43.87, 0.30, 45.43, 0.44, 65.42, 0.39, 77.78, 0.14, 4.44, 0.21
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, citeseer, 69.49, 0.38, 43.83, 0.18, 45.24, 0.31, 65.40, 0.40, 77.83, 0.37, 4.43, 0.34
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, citeseer, 69.38, 0.57, 43.64, 0.51, 45.05, 0.72, 65.27, 0.48, 77.44, 0.19, 4.82, 0.29
0.005, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, citeseer, 69.27, 0.33, 43.59, 0.18, 44.87, 0.29, 65.16, 0.27, 77.46, 0.49, 4.75, 0.41
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, citeseer, 69.43, 0.26, 43.42, 0.30, 44.94, 0.29, 65.11, 0.34, 77.62, 0.21, 4.48, 0.25
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, citeseer, 69.37, 0.31, 43.51, 0.51, 44.84, 0.58, 65.14, 0.25, 77.59, 0.38, 4.53, 0.40
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, citeseer, 69.47, 0.38, 43.51, 0.50, 44.97, 0.60, 65.09, 0.29, 77.26, 0.80, 4.79, 0.82
0.005, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, citeseer, 69.52, 0.59, 43.73, 0.49, 45.19, 0.69, 65.31, 0.51, 77.47, 0.39, 4.72, 0.34
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, citeseer, 69.14, 0.45, 43.12, 0.36, 44.59, 0.62, 64.99, 0.35, 77.59, 0.31, 4.62, 0.24
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, citeseer, 69.22, 0.39, 43.32, 0.33, 44.74, 0.41, 64.91, 0.34, 77.36, 0.16, 4.77, 0.23
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, citeseer, 69.36, 0.25, 43.49, 0.10, 44.91, 0.14, 65.05, 0.21, 77.41, 0.27, 4.70, 0.29
0.005, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, citeseer, 69.44, 0.34, 43.34, 0.43, 44.91, 0.49, 65.10, 0.38, 77.38, 0.45, 4.74, 0.47
