H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.003, 0.0, texas, 60.87, 1.57, 21.44, 2.06, 28.24, 3.09, 36.51, 1.39, 44.00, 4.09, 13.54, 2.43
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.005, 0.0, texas, 60.66, 0.69, 21.01, 1.72, 26.50, 1.18, 36.48, 0.56, 42.37, 6.20, 14.54, 3.81
0.01, 0.0, 4, True, True, True, 0.01, 220.0, 0.01, 0.0, texas, 59.78, 1.45, 18.98, 2.52, 25.39, 2.65, 35.11, 0.98, 42.64, 5.90, 13.70, 3.05
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.001, 0.0, texas, 60.87, 1.23, 17.36, 1.59, 25.47, 0.39, 33.87, 2.07, 15.96, 13.62, 31.24, 14.48
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.003, 0.0, texas, 59.78, 0.56, 16.58, 1.06, 25.75, 0.50, 33.57, 0.77, 17.90, 14.28, 32.65, 13.05
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.005, 0.0, texas, 59.67, 1.22, 16.87, 1.37, 26.16, 0.87, 34.04, 1.35, 14.24, 13.74, 38.20, 13.69
0.01, 0.0, 4, True, True, True, 0.01, 260.0, 0.01, 0.0, texas, 59.45, 1.11, 18.36, 0.67, 25.10, 1.11, 35.37, 2.26, 26.08, 11.01, 27.78, 11.50
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.001, 0.0, texas, 60.22, 1.91, 17.21, 4.01, 23.72, 5.96, 31.01, 2.91, 8.83, 12.28, 35.11, 15.97
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.003, 0.0, texas, 59.67, 2.17, 17.95, 3.45, 22.16, 6.84, 29.85, 1.80, 13.77, 15.69, 29.45, 15.95
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.005, 0.0, texas, 60.33, 2.73, 18.27, 4.06, 23.73, 6.57, 31.84, 2.93, 14.47, 15.55, 30.36, 15.84
0.01, 0.0, 4, True, True, True, 0.01, 300.0, 0.01, 0.0, texas, 60.44, 1.85, 17.50, 4.10, 23.96, 7.25, 31.90, 3.85, 4.11, 5.33, 40.94, 15.94
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.001, 0.0, texas, 55.19, 1.73, 14.91, 2.74, 20.48, 2.45, 33.17, 2.60, 46.27, 3.05, 15.17, 3.10
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.003, 0.0, texas, 55.08, 1.11, 15.67, 3.27, 19.10, 1.88, 30.61, 2.19, 42.31, 3.39, 14.27, 2.14
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.005, 0.0, texas, 54.97, 1.57, 14.03, 2.26, 20.38, 2.60, 33.00, 2.44, 45.87, 2.24, 15.17, 2.88
0.005, 0.0, 4, True, True, True, 0.005, 60.0, 0.01, 0.0, texas, 54.75, 1.64, 15.08, 3.36, 19.60, 2.32, 31.97, 3.11, 44.37, 4.09, 15.06, 3.30
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, texas, 55.08, 1.64, 14.13, 1.62, 20.87, 1.11, 31.05, 2.17, 46.23, 3.43, 12.76, 1.40
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, texas, 53.66, 1.06, 13.22, 1.46, 19.86, 2.09, 30.25, 2.38, 47.84, 1.80, 13.58, 1.39
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, texas, 55.30, 1.94, 15.49, 1.21, 21.11, 0.80, 32.58, 1.79, 47.00, 3.04, 13.75, 1.90
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, texas, 54.64, 1.99, 14.55, 1.02, 20.50, 2.18, 30.91, 2.79, 46.93, 2.59, 13.43, 1.97
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, texas, 52.46, 1.86, 11.19, 1.38, 17.12, 1.89, 29.28, 2.28, 47.12, 2.99, 12.89, 1.27
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, texas, 53.44, 2.43, 14.39, 3.53, 19.59, 1.27, 33.17, 2.37, 50.49, 2.40, 15.03, 3.98
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, texas, 53.77, 1.64, 12.36, 2.98, 18.09, 1.68, 32.42, 1.80, 47.62, 2.37, 13.55, 1.79
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, texas, 53.01, 2.37, 11.75, 1.14, 18.33, 2.07, 28.91, 2.65, 46.60, 1.95, 12.63, 1.11
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, texas, 52.90, 2.38, 12.14, 1.24, 17.12, 2.57, 30.62, 3.01, 48.72, 4.59, 12.81, 2.85
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, texas, 53.01, 2.52, 12.51, 2.60, 16.35, 1.92, 30.23, 3.47, 47.47, 3.86, 13.04, 2.21
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.005, 0.0, texas, 52.46, 2.81, 12.29, 1.23, 17.86, 2.77, 30.28, 1.65, 49.86, 5.12, 12.55, 1.77
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.01, 0.0, texas, 53.22, 2.58, 11.50, 0.86, 17.53, 1.51, 31.76, 1.86, 48.90, 3.92, 12.34, 1.82
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.001, 0.0, texas, 53.55, 0.91, 12.91, 2.17, 18.12, 3.98, 29.85, 2.81, 46.93, 4.36, 11.56, 0.88
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.003, 0.0, texas, 53.22, 1.88, 10.92, 0.99, 18.42, 1.46, 29.60, 1.92, 48.10, 2.95, 11.84, 1.79
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.005, 0.0, texas, 53.99, 1.40, 12.73, 3.72, 18.52, 0.63, 31.67, 3.14, 47.97, 5.13, 12.37, 2.69
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.01, 0.0, texas, 54.64, 1.34, 12.06, 2.13, 18.28, 1.03, 30.42, 2.86, 45.41, 3.80, 11.48, 2.29
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.001, 0.0, texas, 54.54, 0.54, 14.18, 4.14, 19.51, 1.66, 32.83, 1.41, 49.02, 1.01, 12.29, 2.04
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.003, 0.0, texas, 55.52, 1.57, 13.34, 1.47, 20.85, 2.80, 32.45, 1.86, 47.42, 1.76, 11.32, 1.73
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.005, 0.0, texas, 55.19, 1.42, 12.09, 0.90, 18.94, 1.59, 30.56, 1.07, 45.68, 2.52, 10.55, 1.38
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.01, 0.0, texas, 54.75, 0.94, 13.22, 3.65, 20.40, 2.10, 32.31, 2.08, 47.25, 2.32, 11.94, 2.23
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.001, 0.0, texas, 58.36, 0.41, 17.14, 0.77, 23.58, 1.16, 33.93, 1.15, 46.19, 1.12, 11.89, 0.55
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.003, 0.0, texas, 59.23, 0.95, 17.67, 1.82, 25.01, 0.67, 34.32, 1.38, 44.75, 4.24, 11.07, 1.35
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.005, 0.0, texas, 57.92, 0.77, 17.49, 1.48, 22.61, 2.14, 33.46, 1.29, 46.40, 2.59, 11.84, 1.00
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.01, 0.0, texas, 58.03, 1.06, 16.43, 2.77, 23.45, 2.02, 33.57, 1.38, 45.98, 1.48, 11.60, 1.33
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.001, 0.0, texas, 53.88, 1.13, 12.08, 0.97, 21.21, 1.21, 29.69, 1.83, 47.71, 2.95, 13.07, 1.24
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.003, 0.0, texas, 54.43, 1.45, 14.97, 4.27, 20.58, 1.47, 32.09, 2.49, 47.88, 3.11, 14.81, 2.99
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.005, 0.0, texas, 53.77, 2.20, 12.49, 0.87, 19.88, 1.61, 29.62, 2.96, 47.63, 2.26, 12.71, 0.97
0.005, 0.0, 4, True, True, True, 0.01, 60.0, 0.01, 0.0, texas, 54.21, 1.81, 13.67, 5.26, 18.22, 2.17, 30.94, 2.34, 45.27, 2.95, 12.51, 1.75
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.001, 0.0, texas, 52.79, 1.41, 10.95, 1.56, 18.26, 2.36, 30.57, 2.41, 49.32, 4.65, 12.07, 1.14
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.003, 0.0, texas, 53.01, 1.51, 11.09, 1.34, 18.93, 1.50, 29.94, 1.04, 49.72, 2.99, 11.75, 1.37
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.005, 0.0, texas, 52.57, 2.28, 13.44, 1.54, 19.18, 2.88, 30.52, 3.13, 49.28, 2.60, 13.09, 2.39
0.005, 0.0, 4, True, True, True, 0.01, 100.0, 0.01, 0.0, texas, 53.01, 1.42, 11.20, 2.04, 19.32, 1.79, 30.77, 1.95, 49.51, 4.59, 11.94, 2.31
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.001, 0.0, texas, 56.17, 1.97, 13.92, 3.14, 20.74, 2.32, 31.86, 2.31, 46.32, 3.28, 10.60, 1.07
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.003, 0.0, texas, 56.17, 0.87, 13.36, 1.78, 21.43, 0.94, 32.00, 0.77, 45.51, 2.03, 10.97, 0.94
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.005, 0.0, texas, 55.85, 0.41, 13.90, 1.16, 20.37, 1.92, 31.97, 1.79, 47.24, 3.12, 11.16, 1.56
0.005, 0.0, 4, True, True, True, 0.01, 140.0, 0.01, 0.0, texas, 56.07, 1.32, 14.53, 1.67, 20.70, 2.09, 33.34, 1.63, 47.69, 2.13, 12.18, 1.71
0.005, 0.0, 4, True, True, True, 0.01, 180.0, 0.001, 0.0, texas, 59.67, 1.17, 18.73, 1.58, 26.67, 1.35, 34.50, 1.99, 44.74, 1.70, 11.73, 1.16
