H_lr, loss_lambda_kmeans, gnnlayers, with_bn, F_norm, lin, step_size_gamma, lambda1, lambda2, dropout, dataset, acc_mean, acc_std, nmi_mean, nmi_std, ari_mean, ari_std, f1_mean, f1_std, mod_mean, mod_std, con_mean, con_std
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.001, 0.0, cora, 72.25, 0.66, 55.67, 1.03, 48.65, 0.91, 68.82, 0.50, 75.80, 0.54, 6.58, 0.26
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.003, 0.0, cora, 72.40, 0.73, 55.69, 0.98, 48.85, 0.67, 68.98, 0.59, 75.60, 0.71, 6.64, 0.25
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.005, 0.0, cora, 72.53, 0.84, 56.00, 0.79, 48.79, 0.78, 69.12, 0.76, 75.53, 0.72, 6.67, 0.33
0.005, 0.0, 4, True, True, True, 0.005, 100.0, 0.01, 0.0, cora, 72.17, 0.80, 55.59, 1.02, 48.54, 1.01, 68.73, 0.58, 75.80, 0.52, 6.51, 0.16
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.001, 0.0, cora, 72.11, 0.63, 55.64, 0.75, 48.50, 0.82, 68.75, 0.62, 76.37, 0.14, 6.14, 0.27
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.003, 0.0, cora, 72.60, 0.89, 56.25, 1.32, 48.91, 0.90, 69.35, 0.90, 75.88, 0.58, 6.21, 0.14
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.005, 0.0, cora, 72.16, 0.91, 55.21, 0.44, 48.45, 1.14, 69.24, 2.06, 76.28, 0.29, 6.39, 0.62
0.005, 0.0, 4, True, True, True, 0.005, 140.0, 0.01, 0.0, cora, 72.10, 0.79, 55.23, 1.34, 48.15, 0.91, 68.62, 0.89, 75.75, 0.64, 6.27, 0.29
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.001, 0.0, cora, 72.35, 0.70, 55.85, 0.90, 48.83, 0.81, 69.13, 0.40, 76.34, 0.48, 6.07, 0.04
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.003, 0.0, cora, 72.02, 0.12, 55.57, 0.40, 48.41, 0.34, 68.76, 0.31, 76.63, 0.25, 6.00, 0.17
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.005, 0.0, cora, 72.59, 0.87, 55.81, 1.11, 49.03, 1.06, 69.22, 0.64, 76.09, 0.60, 6.03, 0.17
0.005, 0.0, 4, True, True, True, 0.005, 180.0, 0.01, 0.0, cora, 72.65, 0.77, 56.67, 1.17, 48.84, 0.55, 69.52, 0.77, 76.16, 0.58, 5.92, 0.13
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.001, 0.0, cora, 72.56, 0.67, 56.38, 0.98, 48.94, 0.62, 69.41, 0.61, 76.39, 0.52, 5.90, 0.12
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.003, 0.0, cora, 72.67, 0.48, 55.74, 1.00, 48.93, 0.64, 69.27, 0.45, 76.06, 0.56, 5.98, 0.08
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.005, 0.0, cora, 72.23, 0.57, 55.48, 0.60, 48.42, 0.65, 69.00, 0.38, 76.19, 0.45, 5.99, 0.24
0.005, 0.0, 4, True, True, True, 0.005, 220.0, 0.01, 0.0, cora, 72.39, 0.55, 55.41, 0.93, 48.65, 0.70, 68.84, 0.61, 76.13, 0.22, 6.00, 0.17
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.001, 0.0, cora, 72.19, 0.90, 55.84, 0.92, 48.12, 1.23, 68.95, 0.86, 75.88, 0.56, 6.31, 0.19
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.003, 0.0, cora, 72.19, 0.79, 55.55, 0.78, 48.73, 0.84, 68.80, 0.68, 76.18, 0.33, 6.25, 0.13
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.005, 0.0, cora, 71.92, 0.83, 55.75, 0.52, 48.25, 0.78, 68.72, 0.57, 76.43, 0.44, 6.15, 0.08
0.005, 0.0, 4, True, True, True, 0.005, 260.0, 0.01, 0.0, cora, 72.25, 0.87, 56.07, 1.09, 47.99, 0.96, 69.03, 0.92, 75.58, 0.47, 6.24, 0.08
0.005, 0.0, 4, True, True, True, 0.005, 300.0, 0.001, 0.0, cora, 71.91, 0.62, 55.39, 0.91, 47.75, 0.55, 68.52, 0.79, 75.70, 0.25, 6.44, 0.27
